"name","address","cost"
"Gulati","6, Pandara Road Market, New Delhi","₹1,500"
"Ardor","N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi","₹2,500"
"Bikanervala","PLOT NO, 3-5 Sector 29, Gurgaon-122002","₹550"
"Berco's","G-2/43, Middle Circle, Connaught Place, New Delhi","₹1,100"
"Desi Vibes","G-50, 1st Floor, Sector 18, Noida","₹1,400"
"Burbee's Cafe","G-56, 2nd Floor, Sector 18, Noida","₹850"
"Kebab Gali","7-8, Corner Market, Malviya Nagar, New Delhi","₹600"
"QD's Restaurant","2520, 1st Floor, Hudson Lane, Kingsway Camp, Delhi University-GTB Nagar, New Delhi","₹700"
"Diggin","Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi","₹1,350"
"Wendy's","SCO 19, Main Market, Sector 29, Gurgaon","₹400"
"Tossin Pizza","SF-114, 1st Floor, Galleria Market, DLF Phase 4, Gurgaon","₹900"
"World In A Box","Near DLF Galleria Market, DLF Phase 4, Gurgaon","₹750"
"Flavors Of Chennai","6, Corner Market, Near Hanuman Temple, Malviya Nagar, New Delhi","₹400"
"Biryani Blues","B-202 & 203, Supermart 1, DLF Phase 4, Gurgaon","₹1,000"
"The Hudson Cafe","2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi","₹800"
"Nite Bites","Sector 45, Gurgaon","₹500"
"The Junkyard Cafe","91, 2nd Floor, N Block, Connaught Place, New Delhi","₹1,400"
"The Flying Saucer Cafe","Ground Floor, Epicuria Food Mall, Nehru Place Metro Station New Delhi, Nehru Place, New Delhi","₹2,400"
"The Chatter House","Lower Basement, Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi","₹1,800"
"Naturals Ice Cream","L-8, Outer Circle, Connaught Place, New Delhi","₹150"
"Farzi Cafe","E Block, Connaught Place, New Delhi","₹2,200"
"Taco Bell","Ambience Mall, Vasant Kunj, New Delhi","₹550"
"Pita Pit","K-3-B, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","₹600"
"Hauz Khas Social","9-A & 12, Hauz Khas Village, New Delhi","₹1,200"
"Caffe Tonino","1st Floor, PVR Plaza Building, H Block, Connaught Place, New Delhi","₹1,400"
"Gastronomica Kitchen & Bar","2nd Floor, M-55, M Block Market, Greater Kailash (GK) 1, New Delhi","₹1,400"
"Johnny Rockets","2nd Floor, Select Citywalk Mall, Saket, New Delhi","₹1,200"
"QD's Restaurant","294, Satyaniketan Market, Near Venkateshwara College, Satyaniketan, New Delhi","₹700"
"Baking Bad","Greater Kailash (GK) 1, New Delhi","₹800"
"Global Food Factory","A-15, Ground Floor, Vishal Enclave, Main Najafgarh Road, Rajouri Garden, New Delhi","₹1,800"
